index,date,Wage_Date,MIP_sector_id,MIP_sector_name,Count_Workers,year,month,Count_Workers_sa,Count_Workers_trend,Count_Workers_sa_cycle
49,2012-02-01,2012-02-01,8,Financial intermediation,21067,2012,2,21244.187168096403,22616.5,-302.65208276328485
50,2012-03-01,2012-03-01,8,Financial intermediation,21684,2012,3,21704.75227226307,22773.958333333332,74.24689548095193
51,2012-04-01,2012-04-01,8,Financial intermediation,21593,2012,4,21637.08300142974,22939.33333333333,-75.15286045922403
52,2012-05-01,2012-05-01,8,Financial intermediation,22052,2012,5,22065.976230596407,22997.416666666664,273.9534320918392
53,2012-06-01,2012-06-01,8,Financial intermediation,22128,2012,6,22157.01789726307,22806.541666666664,287.16019819293797
54,2012-07-01,2012-07-01,8,Financial intermediation,24587,2012,7,24254.321512459148,22758.20833333333,2308.587322594085
55,2012-08-01,2012-08-01,8,Financial intermediation,24955,2012,8,24712.711218341505,22982.416666666668,2693.063105430494
56,2012-09-01,2012-09-01,8,Financial intermediation,24613,2012,9,24666.566610498365,23200.70833333333,2574.9534870949283
57,2012-10-01,2012-10-01,8,Financial intermediation,25193,2012,10,24952.79133476307,23404.250000000004,2791.127678417364
58,2012-11-01,2012-11-01,8,Financial intermediation,22287,2012,11,22444.944980596407,23593.791666666668,215.0909653869494
59,2012-12-01,2012-12-01,8,Financial intermediation,20265,2012,12,20609.94758476307,23808.624999999996,-1686.3124551822511
60,2013-01-01,2013-01-01,8,Financial intermediation,23945,2013,1,23918.70018892974,23943.791666666664,1557.7409587732836
61,2013-02-01,2013-02-01,8,Financial intermediation,23907,2013,2,24084.187168096403,23948.958333333332,1660.1710943205726
62,2013-03-01,2013-03-01,8,Financial intermediation,24083,2013,3,24103.75227226307,23837.041666666664,1618.2451939204911
63,2013-04-01,2013-04-01,8,Financial intermediation,24079,2013,4,24123.08300142974,23603.458333333336,1577.5614400717532
64,2013-05-01,2013-05-01,8,Financial intermediation,24115,2013,5,24128.976230596407,23476.708333333332,1524.8149038132578
65,2013-06-01,2013-06-01,8,Financial intermediation,25221,2013,6,25250.01789726307,23531.999999999996,2588.477546141923
66,2013-07-01,2013-07-01,8,Financial intermediation,24738,2013,7,24405.321512459148,23527.624999999996,1687.537136036979
67,2013-08-01,2013-08-01,8,Financial intermediation,24928,2013,8,24685.711218341505,23382.666666666664,1912.6721007845554
68,2013-09-01,2013-09-01,8,Financial intermediation,21954,2013,9,22007.566610498365,23203.125,-819.8967000177545
69,2013-10-01,2013-10-01,8,Financial intermediation,22246,2013,10,22005.79133476307,23031.25,-875.4391147996139
70,2013-11-01,2013-11-01,8,Financial intermediation,22192,2013,11,22349.944980596407,22884.125,-584.5627219998314
71,2013-12-01,2013-12-01,8,Financial intermediation,21687,2013,12,22031.94758476307,22693.708333333336,-955.5078978218407
72,2014-01-01,2014-01-01,8,Financial intermediation,22418,2014,1,22391.70018892974,22491.625,-648.529503052272
73,2014-02-01,2014-02-01,8,Financial intermediation,21955,2014,2,22132.187168096403,22301.333333333332,-960.7916923982957
74,2014-03-01,2014-03-01,8,Financial intermediation,21726,2014,3,21746.75227226307,22232.124999999996,-1399.0942414814017
75,2014-04-01,2014-04-01,8,Financial intermediation,22311,2014,4,22355.08300142974,22308.291666666668,-843.8857624069387
76,2014-05-01,2014-05-01,8,Financial intermediation,22352,2014,5,22365.976230596407,22388.0,-886.4946967999895
77,2014-06-01,2014-06-01,8,Financial intermediation,22414,2014,6,22443.01789726307,22431.791666666668,-863.4539123214345
78,2014-07-01,2014-07-01,8,Financial intermediation,22695,2014,7,22362.321512459148,22464.70833333333,-998.7618628658711
79,2014-08-01,2014-08-01,8,Financial intermediation,22404,2014,8,22161.711218341505,22540.791666666664,-1254.6997087474192
80,2014-09-01,2014-09-01,8,Financial intermediation,22817,2014,9,22870.566610498365,22655.125,-601.9854503529968
81,2014-10-01,2014-10-01,8,Financial intermediation,23211,2014,10,22970.79133476307,22757.875,-558.8033564994839
82,2014-11-01,2014-11-01,8,Financial intermediation,23140,2014,11,23297.944980596407,22845.041666666664,-289.6771074268654
83,2014-12-01,2014-12-01,8,Financial intermediation,21790,2014,12,22134.94758476307,22953.749999999996,-1511.765624316904
84,2015-01-01,2015-01-01,8,Financial intermediation,23105,2015,1,23078.70018892974,23046.375,-628.244588286514
85,2015-02-01,2015-02-01,8,Financial intermediation,23094,2015,2,23271.187168096403,23136.958333333336,-497.1946822610953
86,2015-03-01,2015-03-01,8,Financial intermediation,23331,2015,3,23351.75227226307,23216.958333333332,-479.332366599745
87,2015-04-01,2015-04-01,8,Financial intermediation,23172,2015,4,23216.08300142974,23270.083333333336,-679.0265152828651
88,2015-05-01,2015-05-01,8,Financial intermediation,23583,2015,5,23596.976230596407,23299.375,-363.5329287386412
89,2015-06-01,2015-06-01,8,Financial intermediation,23792,2015,6,23821.01789726307,23382.583333333332,-206.31310549314003
90,2015-07-01,2015-07-01,8,Financial intermediation,23540,2015,7,23207.321512459148,23514.583333333336,-888.2981655049807
91,2015-08-01,2015-08-01,8,Financial intermediation,23733,2015,8,23490.711218341505,23600.583333333336,-674.7070056832199
92,2015-09-01,2015-09-01,8,Financial intermediation,23408,2015,9,23461.566610498365,23672.83333333333,-775.1962153530549
93,2015-10-01,2015-10-01,8,Financial intermediation,23895,2015,10,23654.79133476307,23747.083333333332,-654.8931275219875
94,2015-11-01,2015-11-01,8,Financial intermediation,23159,2015,11,23316.944980596407,23823.041666666664,-1067.2631501177966
95,2015-12-01,2015-12-01,8,Financial intermediation,23768,2015,12,24112.94758476307,23893.95833333333,-347.4061905766466
96,2016-01-01,2016-01-01,8,Financial intermediation,24295,2016,1,24268.70018892974,23963.75,-269.4329163775619
97,2016-02-01,2016-02-01,8,Financial intermediation,23968,2016,2,24145.187168096403,24024.624999999996,-472.36798106290007
98,2016-03-01,2016-03-01,8,Financial intermediation,24191,2016,3,24211.75227226307,24086.54166666667,-486.8745842173412
99,2016-04-01,2016-04-01,8,Financial intermediation,24094,2016,4,24138.08300142974,24142.958333333332,-643.2685306108906
100,2016-05-01,2016-05-01,8,Financial intermediation,24484,2016,5,24497.976230596407,24217.458333333332,-367.752493265205
101,2016-06-01,2016-06-01,8,Financial intermediation,24593,2016,6,24622.01789726307,24282.416666666668,-329.735119210196
102,2016-07-01,2016-07-01,8,Financial intermediation,24414,2016,7,24081.321512459148,24316.041666666664,-958.0946443499561
103,2016-08-01,2016-08-01,8,Financial intermediation,24320,2016,8,24077.711218341505,24361.666666666664,-1050.9961292086737
104,2016-09-01,2016-09-01,8,Financial intermediation,24307,2016,9,24360.566610498365,24410.583333333332,-859.0417881735812
105,2016-10-01,2016-10-01,8,Financial intermediation,24350,2016,10,24109.79133476307,24465.75,-1202.3016758487574
106,2016-11-01,2016-11-01,8,Financial intermediation,24492,2016,11,24649.944980596407,24524.375000000004,-756.1832748019515
107,2016-12-01,2016-12-01,8,Financial intermediation,23994,2016,12,24338.94758476307,24586.16666666667,-1162.7243432779105
108,2017-01-01,2017-01-01,8,Financial intermediation,24876,2017,1,24849.70018892974,24662.291666666668,-748.9757998718997
109,2017-02-01,2017-02-01,8,Financial intermediation,24482,2017,2,24659.187168096403,24751.124999999996,-1037.8962582074382
110,2017-03-01,2017-03-01,8,Financial intermediation,24851,2017,3,24871.75227226307,24841.874999999993,-925.0791777737759
111,2017-04-01,2017-04-01,8,Financial intermediation,24758,2017,4,24802.08300142974,24933.874999999996,-1095.7662596013724
112,2017-05-01,2017-05-01,8,Financial intermediation,25227,2017,5,25240.976230596407,24976.749999999996,-759.0826917640843
113,2017-06-01,2017-06-01,8,Financial intermediation,25333,2017,6,25362.01789726307,25028.25,-741.3561448491819
114,2017-07-01,2017-07-01,8,Financial intermediation,25501,2017,7,25168.321512459148,25130.833333333332,-1039.3808587949643
115,2017-08-01,2017-08-01,8,Financial intermediation,25365,2017,8,25122.711218341505,25237.583333333332,-1190.2347220716765
116,2017-09-01,2017-09-01,8,Financial intermediation,25440,2017,9,25493.566610498365,25306.70833333333,-925.4321498041609
117,2017-10-01,2017-10-01,8,Financial intermediation,25425,2017,10,25184.79133476307,25367.624999999996,-1340.9543229622432
118,2017-11-01,2017-11-01,8,Financial intermediation,24446,2017,11,24603.944980596407,25434.624999999996,-2029.119338208151
119,2017-12-01,2017-12-01,8,Financial intermediation,25276,2017,12,25620.94758476307,25491.041666666664,-1119.8744980304036
120,2018-01-01,2018-01-01,8,Financial intermediation,26056,2018,1,26029.70018892974,25575.333333333332,-819.1704432305269
121,2018-02-01,2018-02-01,8,Financial intermediation,25864,2018,2,26041.187168096403,25670.291666666664,-915.8658402697984
122,2018-03-01,2018-03-01,8,Financial intermediation,25128,2018,3,25148.75227226307,25759.124999999996,-1916.4536598498962
123,2018-04-01,2018-04-01,8,Financial intermediation,25943,2018,4,25987.08300142974,25850.25,-1186.0760558064503
124,2018-05-01,2018-05-01,8,Financial intermediation,25650,2018,5,25663.976230596407,26001.208333333332,-1616.751019524003
125,2018-06-01,2018-06-01,8,Financial intermediation,26264,2018,6,26293.01789726307,26318.83333333333,-1094.698328065686
126,2018-07-01,2018-07-01,8,Financial intermediation,26593,2018,7,26260.321512459148,26723.79166666666,-1233.597710034508
127,2018-08-01,2018-08-01,8,Financial intermediation,26552,2018,8,26309.711218341505,27102.833333333336,-1289.4098161596703
128,2018-09-01,2018-09-01,8,Financial intermediation,26385,2018,9,26438.566610498365,27528.41666666666,-1264.5303252381636
129,2018-10-01,2018-10-01,8,Financial intermediation,26667,2018,10,26426.79133476307,27964.125,-1378.8209166720299
130,2018-11-01,2018-11-01,8,Financial intermediation,26827,2018,11,26984.944980596407,28384.833333333336,-921.4775690574352
131,2018-12-01,2018-12-01,8,Financial intermediation,30518,2018,12,30862.94758476307,28638.958333333332,2857.674825363647
132,2019-01-01,2019-01-01,8,Financial intermediation,30533,2019,1,30506.70018892974,28862.708333333336,2404.79948941767
133,2019-02-01,2019-02-01,8,Financial intermediation,30484,2019,2,30661.187168096403,29244.666666666668,2465.1209293043175
134,2019-03-01,2019-03-01,8,Financial intermediation,30722,2019,3,30742.75227226307,29645.875,2455.204470671677
